PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,GP,W,L,W_PCT,MIN,E_OFF_RATING,OFF_RATING,E_DEF_RATING,DEF_RATING,E_NET_RATING,NET_RATING,AST_PCT,AST_TO,AST_RATIO,OREB_PCT,DREB_PCT,REB_PCT,TM_TOV_PCT,E_TOV_PCT,EFG_PCT,TS_PCT,USG_PCT,E_USG_PCT,E_PACE,PACE,PACE_PER40,PIE,FGM,FGA,FGM_PG,FGA_PG,FG_PCT,TEAM_COUNT,TEAM_SUCCESS_GROUP
1630639,A.J. Lawson,1610612742,DAL,42,27,15,0.643,7.4,109.9,106.6,106.2,105.3,3.7,1.2,0.089,1.43,12.1,0.039,0.105,0.072,0.085,0.085,0.5,0.519,0.18,0.188,105.42,107.53,89.61,0.076,54,121,1.3,2.9,0.446,1,Successful (>= 0.600)
1631260,AJ Green,1610612749,MIL,56,35,21,0.625,11.0,115.2,114.0,111.2,110.5,4.0,3.5,0.068,2.5,12.3,0.015,0.089,0.053,0.049,0.049,0.599,0.617,0.15,0.158,98.18,98.96,82.47,0.068,83,196,1.5,3.5,0.423,1,Successful (>= 0.600)
1631100,AJ Griffin,1610612737,ATL,20,8,12,0.4,8.5,106.9,106.0,121.7,120.1,-14.8,-14.0,0.041,0.63,6.6,0.011,0.108,0.055,0.105,0.105,0.371,0.382,0.167,0.175,105.7,106.84,89.03,0.017,18,62,0.9,3.1,0.29,1,Average (0.400-0.599)
203932,Aaron Gordon,1610612743,DEN,73,49,24,0.671,31.5,118.5,119.8,110.4,111.1,8.1,8.7,0.147,2.47,21.7,0.078,0.129,0.104,0.088,0.088,0.584,0.607,0.174,0.178,98.84,98.01,81.68,0.103,398,716,5.5,9.8,0.556,1,Successful (>= 0.600)
1628988,Aaron Holiday,1610612745,HOU,78,39,39,0.5,16.3,111.0,110.5,108.0,107.6,3.0,2.9,0.157,2.64,22.1,0.017,0.075,0.045,0.084,0.083,0.547,0.578,0.158,0.165,101.82,102.24,85.2,0.078,186,417,2.4,5.3,0.446,1,Average (0.400-0.599)
1630174,Aaron Nesmith,1610612754,IND,72,41,31,0.569,27.7,117.7,119.3,113.9,115.0,3.8,4.3,0.067,1.69,12.5,0.032,0.103,0.069,0.074,0.074,0.606,0.631,0.158,0.162,103.62,102.47,85.39,0.071,315,635,4.4,8.8,0.496,1,Average (0.400-0.599)
1630598,Aaron Wiggins,1610612760,OKC,78,55,23,0.705,15.7,116.5,115.6,108.9,110.0,7.6,5.7,0.096,1.54,15.6,0.052,0.095,0.075,0.102,0.102,0.645,0.664,0.163,0.168,100.98,100.83,84.03,0.096,212,377,2.7,4.8,0.562,1,Successful (>= 0.600)
1641745,Adam Flagler,1610612760,OKC,2,2,0,1.0,7.0,116.0,109.7,110.5,109.7,5.4,0.0,0.364,0.0,36.4,0.0,0.0,0.0,0.0,0.0,0.214,0.214,0.212,0.223,102.87,106.16,88.47,0.013,1,7,0.5,3.5,0.143,1,Successful (>= 0.600)
1641766,Adama Sanogo,1610612741,CHI,9,3,6,0.333,7.3,118.7,115.3,95.6,93.6,23.1,21.7,0.0,0.0,0.0,0.253,0.266,0.259,0.135,0.134,0.519,0.558,0.21,0.222,101.43,104.01,86.68,0.149,14,27,1.6,3.0,0.519,1,Unsuccessful (< 0.400)
1629678,Admiral Schofield,1610612753,ORL,23,15,8,0.652,3.7,94.8,90.4,97.7,95.6,-2.9,-5.2,0.163,1.4,17.9,0.035,0.149,0.094,0.128,0.129,0.5,0.484,0.167,0.175,98.38,101.85,84.88,0.063,10,26,0.4,1.1,0.385,1,Successful (>= 0.600)
201143,Al Horford,1610612738,BOS,65,51,14,0.785,26.8,120.5,120.9,108.7,109.5,11.8,11.4,0.124,3.5,25.9,0.048,0.178,0.116,0.074,0.074,0.64,0.65,0.119,0.122,99.27,98.77,82.31,0.105,214,419,3.3,6.4,0.511,1,Successful (>= 0.600)
202692,Alec Burks,1610612752,NYK,66,18,48,0.273,18.4,107.9,107.8,118.3,118.5,-10.4,-10.7,0.115,1.83,11.4,0.019,0.103,0.06,0.062,0.062,0.478,0.536,0.234,0.244,100.67,100.63,83.86,0.087,210,569,3.2,8.6,0.369,2,Unsuccessful (< 0.400)
1630197,Aleksej Pokusevski,1610612766,CHA,28,14,14,0.5,14.5,103.9,103.5,111.7,113.2,-7.8,-9.7,0.132,1.84,18.0,0.042,0.173,0.108,0.098,0.098,0.479,0.525,0.172,0.177,98.27,97.8,81.5,0.095,49,121,1.8,4.3,0.405,2,Average (0.400-0.599)
1627936,Alex Caruso,1610612741,CHI,71,34,37,0.479,28.7,111.6,110.9,109.9,110.6,1.7,0.3,0.167,2.42,26.4,0.031,0.103,0.067,0.109,0.109,0.593,0.613,0.146,0.149,99.19,99.21,82.67,0.089,253,541,3.6,7.6,0.468,1,Average (0.400-0.599)
1641788,Alex Fudge,1610612742,DAL,6,1,5,0.167,6.7,85.9,81.8,128.5,129.1,-42.6,-47.3,0.0,0.0,0.0,0.087,0.029,0.062,0.111,0.112,0.433,0.472,0.176,0.189,101.55,103.84,86.53,0.052,6,15,1.0,2.5,0.4,2,Unsuccessful (< 0.400)
203458,Alex Len,1610612758,SAC,48,24,24,0.5,9.3,117.2,116.3,102.5,100.8,14.7,15.4,0.142,1.85,28.9,0.098,0.179,0.138,0.156,0.156,0.617,0.625,0.114,0.118,100.48,101.73,84.77,0.092,50,81,1.0,1.7,0.617,1,Average (0.400-0.599)
1631214,Alondes Williams,1610612748,MIA,7,5,2,0.714,2.2,62.5,57.9,116.5,110.5,-54.0,-52.6,0.0,0.0,0.0,0.0,0.067,0.032,0.2,0.192,0.25,0.296,0.25,0.281,109.64,116.96,97.47,-0.067,2,8,0.3,1.1,0.25,1,Successful (>= 0.600)
1630578,Alperen Sengun,1610612745,HOU,63,29,34,0.46,32.5,112.0,113.9,111.8,113.2,0.2,0.8,0.248,1.93,19.4,0.086,0.193,0.139,0.101,0.101,0.553,0.585,0.27,0.273,100.66,99.22,82.68,0.149,527,982,8.4,15.6,0.537,1,Average (0.400-0.599)
1641735,Amari Bailey,1610612766,CHA,10,1,9,0.1,6.5,110.6,111.4,105.5,106.0,5.1,5.4,0.152,1.75,18.4,0.098,0.041,0.067,0.105,0.105,0.354,0.425,0.207,0.213,99.32,98.77,82.31,0.058,8,24,0.8,2.4,0.333,1,Unsuccessful (< 0.400)
1641708,Amen Thompson,1610612745,HOU,62,30,32,0.484,22.4,110.9,111.4,109.3,109.3,1.5,2.1,0.165,1.81,21.4,0.095,0.184,0.137,0.118,0.117,0.545,0.576,0.173,0.179,102.96,102.77,85.64,0.121,239,446,3.9,7.2,0.536,1,Average (0.400-0.599)
1629599,Amir Coffey,1610612746,LAC,70,46,24,0.657,20.9,114.8,114.6,117.4,118.0,-2.6,-3.4,0.068,2.3,15.5,0.02,0.08,0.051,0.067,0.067,0.571,0.604,0.119,0.123,100.91,100.74,83.95,0.059,166,352,2.4,5.0,0.472,1,Successful (>= 0.600)
203083,Andre Drummond,1610612741,CHI,79,37,42,0.468,17.1,113.9,114.1,113.4,113.3,0.5,0.8,0.041,0.46,5.3,0.187,0.331,0.257,0.116,0.117,0.556,0.576,0.201,0.207,97.97,97.97,81.64,0.155,267,480,3.4,6.1,0.556,1,Average (0.400-0.599)
1641748,Andre Jackson Jr.,1610612749,MIL,57,33,24,0.579,10.0,114.6,112.3,119.8,119.6,-5.2,-7.3,0.113,1.79,27.3,0.077,0.127,0.102,0.153,0.153,0.585,0.596,0.097,0.101,101.2,102.32,85.27,0.044,50,100,0.9,1.8,0.5,1,Average (0.400-0.599)
1641847,Andrew Funk,1610612741,CHI,5,3,2,0.6,2.7,123.6,110.3,100.1,93.3,23.5,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.108,0.118,96.43,105.67,88.06,-0.045,0,4,0.0,0.8,0.0,1,Successful (>= 0.600)
1629614,Andrew Nembhard,1610612754,IND,68,41,27,0.603,25.0,115.1,116.1,113.0,114.0,2.1,2.2,0.208,2.77,30.2,0.021,0.06,0.041,0.109,0.109,0.557,0.573,0.161,0.163,102.72,101.82,84.85,0.075,260,522,3.8,7.7,0.498,1,Successful (>= 0.600)
203952,Andrew Wiggins,1610612744,GSW,71,38,33,0.535,27.0,114.2,114.9,114.9,116.3,-0.7,-1.3,0.087,1.37,11.1,0.055,0.105,0.08,0.081,0.081,0.511,0.544,0.206,0.21,101.97,101.06,84.22,0.078,353,780,5.0,11.0,0.453,1,Average (0.400-0.599)
1629014,Anfernee Simons,1610612757,POR,46,11,35,0.239,34.4,108.4,109.9,118.3,120.5,-9.9,-10.6,0.268,2.02,19.8,0.013,0.097,0.053,0.098,0.097,0.523,0.568,0.276,0.283,99.45,97.9,81.58,0.111,360,837,7.8,18.2,0.43,1,Unsuccessful (< 0.400)
1641710,Anthony Black,1610612753,ORL,69,39,30,0.565,16.9,106.7,108.0,108.5,108.9,-1.8,-1.0,0.108,1.63,21.2,0.029,0.093,0.061,0.13,0.13,0.54,0.56,0.123,0.125,100.89,100.09,83.4,0.054,115,247,1.7,3.6,0.466,1,Average (0.400-0.599)
203076,Anthony Davis,1610612747,LAL,76,45,31,0.592,35.5,115.0,116.5,112.1,114.0,2.8,2.6,0.151,1.67,13.8,0.093,0.252,0.176,0.083,0.082,0.567,0.621,0.261,0.266,103.6,102.06,85.05,0.168,713,1283,9.4,16.9,0.556,1,Average (0.400-0.599)
1630162,Anthony Edwards,1610612750,MIN,79,54,25,0.684,35.1,114.3,115.8,106.6,108.5,7.7,7.3,0.241,1.68,16.8,0.02,0.131,0.078,0.1,0.099,0.522,0.575,0.314,0.322,99.69,98.18,81.82,0.145,718,1558,9.1,19.7,0.461,1,Successful (>= 0.600)
1630264,Anthony Gill,1610612764,WAS,50,9,41,0.18,9.3,113.4,113.3,113.1,112.1,0.2,1.2,0.098,1.48,14.5,0.078,0.117,0.098,0.098,0.099,0.5,0.537,0.177,0.18,103.53,104.03,86.69,0.074,75,160,1.5,3.2,0.469,1,Unsuccessful (< 0.400)
1629717,Armoni Brooks,1610612751,BKN,10,3,7,0.3,10.4,125.8,127.7,115.2,114.0,10.6,13.7,0.06,1.67,9.3,0.061,0.098,0.079,0.056,0.055,0.446,0.448,0.188,0.195,98.77,98.52,82.1,0.054,15,46,1.5,4.6,0.326,1,Unsuccessful (< 0.400)
1630204,Ashton Hagans,1610612757,POR,19,3,16,0.158,16.6,102.7,105.3,108.5,106.5,-5.8,-1.1,0.244,1.8,33.1,0.041,0.101,0.069,0.184,0.185,0.465,0.51,0.144,0.146,96.89,96.51,80.43,0.068,29,71,1.5,3.7,0.408,1,Unsuccessful (< 0.400)
