season,date,regular,playoffs,away,home,score_away,score_home,q1_away,q2_away,q3_away,q4_away,ot_away,q1_home,q2_home,q3_home,q4_home,ot_home,away_calc_score,home_calc_score,actual_total,expected_id_total,fav_margin,expected_id_spread,expected_favorite,Game_Type
2024,2023-10-24,True,False,LAL,DEN,107,119,20,34,26,27,0,34,29,24,32,0,107,119,226,0.0,12,1.0,home,Regular
2024,2023-10-24,True,False,PHX,GS,108,104,28,33,19,28,0,28,18,40,18,0,108,104,212,0.0,-4,0.0,home,Regular
2024,2023-10-25,True,False,NO,MEM,111,104,25,32,25,29,0,28,19,23,34,0,111,104,215,0.0,-7,0.0,home,Regular
2024,2023-10-25,True,False,DET,MIA,102,103,29,18,28,27,0,26,32,25,20,0,102,103,205,0.0,1,0.0,home,Regular
2024,2023-10-25,True,False,CLE,BKN,114,113,37,26,27,24,0,32,31,24,26,0,114,113,227,1.0,1,0.0,home,Regular
2024,2023-10-25,True,False,MIN,TOR,94,97,25,26,23,20,0,25,28,20,24,0,94,97,191,0.0,3,1.0,home,Regular
2024,2023-10-25,True,False,POR,LAC,111,123,20,27,26,38,0,29,38,32,24,0,111,123,234,1.0,12,1.0,home,Regular
2024,2023-10-25,True,False,HOU,ORL,86,116,20,23,26,17,0,29,25,33,29,0,86,116,202,0.0,30,1.0,home,Regular
2024,2023-10-25,True,False,SAC,UTAH,130,114,32,40,33,25,0,24,34,29,27,0,130,114,244,1.0,16,1.0,home,Regular
2024,2023-10-25,True,False,ATL,CHA,110,116,29,23,21,37,0,25,26,27,38,0,110,116,226,0.0,-6,0.0,home,Regular
2024,2023-10-25,True,False,OKC,CHI,124,104,33,28,30,33,0,35,20,27,22,0,124,104,228,1.0,-20,0.0,home,Regular
2024,2023-10-25,True,False,BOS,NY,108,104,30,21,31,26,0,18,28,27,31,0,108,104,212,0.0,4,0.0,home,Regular
2024,2023-10-25,True,False,DAL,SA,126,119,36,28,32,30,0,43,25,23,28,0,126,119,245,1.0,7,1.0,home,Regular
2024,2023-10-25,True,False,WSH,IND,120,143,39,29,28,24,0,34,39,37,33,0,120,143,263,1.0,23,1.0,home,Regular
2024,2023-10-26,True,False,PHI,MIL,117,118,23,31,31,32,0,30,33,25,30,0,117,118,235,1.0,1,0.0,home,Regular
2024,2023-10-26,True,False,PHX,LAL,95,100,30,22,32,11,0,18,30,24,28,0,95,100,195,0.0,5,0.0,home,Regular
2024,2023-10-27,True,False,LAC,UTAH,118,120,30,24,29,35,0,33,30,26,31,0,118,120,238,1.0,-2,0.0,home,Regular
2024,2023-10-27,True,False,TOR,CHI,103,104,18,17,33,25,10,24,18,23,28,11,103,104,207,0.0,1,0.0,home,Regular
2024,2023-10-27,True,False,DEN,MEM,108,104,25,36,28,19,0,18,38,23,25,0,108,104,212,0.0,4,0.0,home,Regular
2024,2023-10-27,True,False,BKN,DAL,120,125,25,34,30,31,0,26,31,31,37,0,120,125,245,1.0,5,0.0,home,Regular
2024,2023-10-27,True,False,DET,CHA,111,99,32,22,29,28,0,21,26,28,24,0,111,99,210,0.0,-12,0.0,home,Regular
2024,2023-10-27,True,False,ORL,POR,102,97,31,32,19,20,0,26,29,25,17,0,102,97,199,0.0,5,1.0,home,Regular
2024,2023-10-27,True,False,HOU,SA,122,126,23,29,31,28,11,25,27,24,35,15,122,126,248,1.0,4,1.0,home,Regular
2024,2023-10-27,True,False,MIA,BOS,111,119,28,27,33,23,0,25,35,27,32,0,111,119,230,1.0,8,0.0,home,Regular
2024,2023-10-27,True,False,NY,ATL,126,120,35,34,31,26,0,31,30,31,28,0,126,120,246,1.0,-6,0.0,home,Regular
2024,2023-10-27,True,False,GS,SAC,122,114,24,36,39,23,0,29,28,27,30,0,122,114,236,0.0,-8,0.0,home,Regular
2024,2023-10-27,True,False,OKC,CLE,108,105,31,21,27,29,0,26,16,33,30,0,108,105,213,0.0,-3,0.0,home,Regular
2024,2023-10-28,True,False,PHI,TOR,114,107,27,29,35,23,0,36,23,20,28,0,114,107,221,1.0,7,1.0,home,Regular
2024,2023-10-28,True,False,CHI,DET,102,118,26,18,33,25,0,29,28,27,34,0,102,118,220,1.0,-16,0.0,home,Regular
2024,2023-10-28,True,False,UTAH,PHX,104,126,27,23,28,26,0,37,29,40,20,0,104,126,230,1.0,22,1.0,home,Regular
2024,2023-10-28,True,False,MIA,MIN,90,106,31,22,20,17,0,26,29,25,26,0,90,106,196,0.0,16,1.0,home,Regular
2024,2023-10-28,True,False,IND,CLE,125,113,31,29,31,34,0,37,12,38,26,0,125,113,238,1.0,12,1.0,home,Regular
2024,2023-10-28,True,False,NY,NO,87,96,12,25,31,19,0,26,29,22,19,0,87,96,183,0.0,9,1.0,home,Regular
2024,2023-10-28,True,False,MEM,WSH,106,113,22,24,34,26,0,25,37,30,21,0,106,113,219,0.0,7,1.0,home,Regular
2024,2023-10-29,True,False,GS,HOU,106,95,26,31,24,25,0,24,23,28,20,0,106,95,201,0.0,11,1.0,home,Regular
2024,2023-10-29,True,False,SA,LAC,83,123,17,20,23,23,0,23,33,37,30,0,83,123,206,0.0,40,1.0,home,Regular
2024,2023-10-29,True,False,POR,PHI,98,126,28,32,21,17,0,36,30,33,27,0,98,126,224,1.0,28,1.0,home,Regular
2024,2023-10-29,True,False,LAL,SAC,127,132,28,27,28,32,12,41,25,21,28,17,127,132,259,1.0,5,1.0,home,Regular
2024,2023-10-29,True,False,DEN,OKC,128,95,34,35,28,31,0,23,28,24,20,0,128,95,223,0.0,33,1.0,home,Regular
2024,2023-10-29,True,False,ATL,MIL,127,110,31,37,33,26,0,25,22,33,30,0,127,110,237,0.0,-17,0.0,home,Regular
2024,2023-10-30,True,False,POR,TOR,99,91,21,26,33,19,0,25,25,24,17,0,99,91,190,0.0,-8,0.0,home,Regular
