TEAM_ID,TEAM_NAME,GP,W_PCT,MIN,OFF_RATING,DEF_RATING,NET_RATING,AST_PCT,AST_TO,AST_RATIO,OREB_PCT,DREB_PCT,REB_PCT,TM_TOV_PCT,EFG_PCT,TS_PCT,PACE,POSS,PIE,GP_RANK,W_PCT_RANK,MIN_RANK,OFF_RATING_RANK,DEF_RATING_RANK,NET_RATING_RANK,AST_PCT_RANK,AST_TO_RANK,AST_RATIO_RANK,OREB_PCT_RANK,DREB_PCT_RANK,REB_PCT_RANK,TM_TOV_PCT_RANK,EFG_PCT_RANK,TS_PCT_RANK,PACE_RANK,PIE_RANK,SEASON,SEASON_START_YEAR,TEAM_SUCCESS_GROUP,SHOOTING_EFFICIENCY_GAP,REB_PCT_BALANCE,PACE_ADJ_NET_RATING,POSSESSION_CONTROL_INDEX,TEAM_SUCCESS_GROUP_ENCODED,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,TWO_PCT,FG3A_RATE,FT_RATE,OREB_SHARE,ASSISTED_FG_RATE,BALL_CONTROL,NEXT_W_PCT,NEXT_SEASON_START_YEAR,W_PCT_CHANGE,DECLINE_RISK,PLAYER_COUNT,ROTATION_PLAYER_COUNT,MINUTES_WEIGHTED_AGE,MINUTES_WEIGHTED_AVAILABILITY,TOP3_MINUTES_SHARE,TOP5_MINUTES_SHARE,TOP3_POINTS_SHARE,MULTI_TEAM_PLAYER_SHARE,MULTI_TEAM_MINUTES_SHARE,RETURNING_MINUTES_SHARE,RETURNING_POINTS_SHARE,RETURNING_PLAYER_SHARE,MW_PLAYER_OFF_RATING,MW_PLAYER_DEF_RATING,MW_PLAYER_NET_RATING,MW_PLAYER_TS_PCT,MW_PLAYER_EFG_PCT,MW_PLAYER_USG_PCT,MW_PLAYER_PIE,MW_PLAYER_AST_PCT,MW_PLAYER_REB_PCT,MW_PLAYER_PACE,ROTATION_USAGE_STD,ROTATION_AGE_STD
1610612737,Atlanta Hawks,82,0.585,3966.0,104.6,100.8,3.9,0.663,1.71,19.0,0.234,0.698,0.474,0.152,0.516,0.552,97.63,8059,0.528,1,7,11,20,2,7,2,7,2,29,26,28,21,6,8,9,6,2015-16,2015,Average,0.036,0.464,3.995,0.322,1,38.6,84.4,0.458,9.9,28.4,0.35,15.6,20.0,0.783,8.3,33.8,42.1,25.6,15.0,9.1,5.9,5.0,19.1,18.3,102.8,3.6,9,15,11,6,7,15,29,30,8,30,13,24,2,22,3,5,14,7,29,12,7,0.512,0.336,0.237,0.197,0.663,10.6,0.524,2016.0,-0.06099999999999994,1.0,15,8,29.126513593855407,0.8875484076267058,0.3748875380023299,0.5866500316077511,0.4494082153631933,0.13333333333333333,0.07155801192005634,,,,103.05914061254676,99.43417025320457,3.629542836131081,0.5543350302818448,0.5204042416959167,0.19238969822470134,0.10496796929332815,0.16629220013137821,0.08492668482657885,99.11877611484145,0.05483383991660623,3.75624480032918
1610612737,Atlanta Hawks,82,0.524,3976.0,104.5,105.2,-0.7,0.621,1.5,17.4,0.282,0.717,0.502,0.16,0.504,0.541,97.76,8091,0.506,1,11,4,27,4,19,6,23,11,13,19,12,28,19,20,11,10,2016-17,2016,Average,0.037,0.435,-0.716,0.342,1,38.1,84.4,0.451,8.9,26.1,0.341,18.1,24.9,0.728,10.3,34.1,44.3,23.6,15.8,8.2,4.8,5.2,18.2,21.6,103.2,-0.9,23,22,18,20,16,23,13,5,28,14,10,9,10,28,7,14,22,6,3,22,19,0.501,0.309,0.295,0.233,0.619,7.8,0.293,2017.0,-0.23100000000000004,1.0,18,9,28.45042494190329,0.8470820969654782,0.3322262602567122,0.535346969100801,0.41612867928657404,0.16666666666666666,0.166536231944589,0.6005055156511028,0.6339862129335814,0.5,103.10541249590116,103.97996701555294,-0.8788082571759258,0.5394885450837483,0.5056471371042954,0.19818539212018768,0.10154033726943848,0.15492531815578042,0.09043826736457056,99.13949624169112,0.04175886096549812,3.292340531117567
1610612737,Atlanta Hawks,82,0.293,3941.0,104.4,110.1,-5.7,0.622,1.53,17.6,0.263,0.719,0.489,0.157,0.512,0.547,98.76,8114,0.468,1,27,27,26,24,26,5,23,8,18,26,26,29,22,20,8,26,2017-18,2017,Unsuccessful,0.035,0.456,-5.772,0.332,0,38.2,85.5,0.446,11.2,31.0,0.36,15.8,20.2,0.785,9.1,32.8,41.9,23.7,15.5,7.8,4.2,5.5,19.6,20.3,103.4,-5.5,28,20,25,9,7,15,22,23,7,22,23,25,8,27,12,23,28,14,14,25,26,0.495,0.363,0.236,0.217,0.62,8.2,0.354,2018.0,0.061,0.0,19,10,24.933994684029294,0.7443423914133731,0.376172956598254,0.5738370744693386,0.4597460583228687,0.05263157894736842,0.007280000269343572,0.5264589459991884,0.5823915166736431,0.3157894736842105,102.6012487243314,108.29727292603962,-5.693662009069353,0.5458349919088002,0.5124404658613954,0.19548225144687997,0.09369425246563245,0.16759976733468493,0.08740771150451557,100.29441487782594,0.045394272766506566,3.0016662039607267
1610612737,Atlanta Hawks,82,0.354,3971.0,107.5,113.1,-5.5,0.624,1.52,17.7,0.284,0.718,0.496,0.162,0.522,0.555,104.56,8642,0.464,1,26,7,23,28,26,9,29,16,8,24,20,30,17,17,1,26,2018-19,2018,Unsuccessful,0.033,0.434,-5.26,0.334,0,41.4,91.8,0.451,13.0,37.0,0.352,17.6,23.4,0.752,11.6,34.5,46.1,25.8,17.0,8.2,5.1,5.5,23.6,22.2,113.3,-6.0,15,4,21,4,3,16,18,12,21,4,18,12,10,30,11,14,24,29,5,12,26,0.518,0.403,0.255,0.252,0.623,8.8,0.299,2019.0,-0.05499999999999999,1.0,18,9,25.0524483894563,0.8109144047866029,0.34953866365219516,0.5367230562140227,0.4157693643626259,0.0,0.0,0.4710868631464684,0.4826907491026977,0.3333333333333333,106.2958988061327,111.6465587669182,-5.361025758994442,0.5524710599054323,0.5238973699155504,0.19350074025883,0.09214491595483326,0.15146603966018904,0.09048757644758433,106.04586261090854,0.037971074110904515,6.459751934999392
1610612737,Atlanta Hawks,67,0.299,3256.0,107.0,114.4,-7.4,0.589,1.48,16.9,0.267,0.708,0.484,0.155,0.515,0.554,103.28,6999,0.454,23,27,23,25,28,28,19,28,22,15,29,26,28,25,23,7,29,2019-20,2019,Unsuccessful,0.039,0.441,-7.165,0.329,0,40.6,90.6,0.449,12.0,36.1,0.333,18.5,23.4,0.79,9.9,33.4,43.3,24.0,16.2,7.8,5.1,6.4,23.1,21.0,111.8,-8.0,17,7,23,16,8,30,12,15,10,19,23,22,17,28,13,12,30,30,13,17,29,0.525,0.398,0.258,0.229,0.591,7.8,0.569,2020.0,0.26999999999999996,0.0,18,9,24.733271886655086,0.8308461763245385,0.3294948710643868,0.4979158403950463,0.4311489788247087,0.16666666666666666,0.17692528270127045,0.43617794213212524,0.5199849642901891,0.3333333333333333,106.37416544238815,111.96856343252315,-5.596893935585261,0.5517502668275452,0.5170786402036305,0.1891637992481161,0.0918362446024679,0.1501481827610413,0.09001172477101803,104.37550096731967,0.059327923182391974,3.57287448684745
1610612737,Atlanta Hawks,72,0.569,3481.0,114.3,112.1,2.2,0.591,1.82,17.6,0.284,0.742,0.516,0.133,0.539,0.581,98.68,7160,0.511,1,11,11,9,18,11,18,14,20,6,9,7,10,16,10,22,10,2020-21,2020,Average,0.042,0.458,2.229,0.383,1,40.8,87.2,0.468,12.4,33.4,0.373,19.7,24.2,0.812,10.6,35.1,45.6,24.1,13.2,7.0,4.8,5.0,19.3,19.8,113.7,2.3,19,23,17,17,19,12,2,4,5,7,10,5,19,9,24,17,17,18,9,13,9,0.528,0.383,0.278,0.232,0.591,10.9,0.524,2021.0,-0.04499999999999993,0.0,17,9,25.84338277492873,0.7893158489227515,0.3431130283993202,0.5306922818454588,0.4261932479627474,0.058823529411764705,0.07939829365441402,0.5731077264687422,0.6284051222351572,0.47058823529411764,112.98323540897269,110.75486313328008,2.254051298991592,0.5775655573346459,0.5388083637141117,0.19696887205960706,0.10229803824848618,0.1489436060028531,0.090679770554095,100.13313851970211,0.0671771198556381,4.1126123385159445
1610612737,Atlanta Hawks,82,0.524,3941.0,115.4,113.7,1.6,0.593,2.08,18.1,0.269,0.731,0.501,0.12,0.543,0.581,98.67,8099,0.509,1,16,30,2,26,14,22,4,14,17,12,14,1,8,6,17,14,2021-22,2021,Average,0.038,0.462,1.622,0.381,1,41.5,88.3,0.47,12.9,34.4,0.374,18.1,22.3,0.812,10.0,33.9,44.0,24.6,11.9,7.2,4.2,4.5,18.7,20.3,113.9,1.6,11,13,7,11,18,2,3,11,4,17,17,20,15,1,22,23,10,7,6,6,14,0.531,0.39,0.253,0.227,0.593,12.7,0.5,2022.0,-0.02400000000000002,0.0,21,9,26.500776859469198,0.8163499957756465,0.36364940590198314,0.5496836902313159,0.4461933467291806,0.09523809523809523,0.01723419710547851,0.8345000463244623,0.8938379102478232,0.5238095238095238,114.15701196474552,112.33344853387482,1.8087247544891576,0.580742797426826,0.548022361769038,0.1928855063615993,0.10267543241155289,0.15496899810228232,0.09118385756302329,99.87977221310803,0.0613751870078366,3.784308081316978
1610612737,Atlanta Hawks,82,0.5,3971.0,115.5,115.4,0.1,0.56,1.93,17.6,0.289,0.717,0.5,0.126,0.541,0.579,101.56,8407,0.5,1,17,8,7,22,19,28,6,22,11,18,16,3,19,19,6,17,2022-23,2022,Average,0.038,0.428,0.098,0.374,1,44.6,92.4,0.483,10.8,30.5,0.352,18.5,22.6,0.818,11.2,33.2,44.4,25.0,12.9,7.1,4.9,5.0,18.8,19.7,118.4,0.3,1,3,9,26,28,21,16,20,3,9,12,10,18,3,18,12,21,6,19,3,18,0.546,0.33,0.245,0.252,0.561,12.1,0.439,2023.0,-0.061,1.0,19,9,24.76748523109178,0.8497235209699786,0.3387654934756726,0.534482663439415,0.4226028041780371,0.15789473684210525,0.14813724058951724,0.5945991432162391,0.6205890655876541,0.3684210526315789,113.7568142003566,114.35074377424043,-0.5971179160305297,0.5792273866715165,0.5425389793520511,0.19390544594098078,0.09965449564584797,0.13740033770210444,0.09035612612963514,102.53007695903102,0.04823348562775107,3.142696805273545
1610612737,Atlanta Hawks,82,0.439,3971.0,116.4,118.4,-2.0,0.618,1.96,18.4,0.308,0.717,0.504,0.133,0.539,0.576,100.84,8339,0.482,1,21,3,12,27,21,19,18,21,5,16,12,13,17,18,6,22,2023-24,2023,Average,0.037,0.409,-1.983,0.371,1,43.0,92.5,0.465,13.7,37.7,0.364,18.5,23.2,0.797,12.5,32.2,44.7,26.6,13.5,7.5,4.5,5.6,18.6,19.4,118.3,-2.2,10,2,21,6,7,17,5,7,8,3,22,6,16,16,16,26,22,15,7,5,21,0.535,0.408,0.251,0.28,0.619,13.1,0.488,2024.0,0.04899999999999999,0.0,18,9,26.394067058407032,0.775409120226608,0.36805834557839434,0.5626204718458406,0.4629150718940726,0.05555555555555555,0.005506341104650955,0.9572299022274412,0.9718630392055446,0.7222222222222222,115.05544059109485,116.99337393631349,-1.9456047553332676,0.5804925087146062,0.5457840723796965,0.19395209273299432,0.09727882448429795,0.15910656792398425,0.08941544101774614,102.02686718853566,0.05409456740026878,2.7799991118215117
1610612737,Atlanta Hawks,82,0.488,3956.0,113.7,114.8,-1.1,0.682,1.91,19.9,0.3,0.715,0.503,0.149,0.546,0.579,103.41,8521,0.498,1,16,14,17,18,18,5,13,7,13,10,13,22,17,17,3,17,2024-25,2024,Average,0.033,0.415,-1.064,0.354,1,43.4,91.8,0.472,13.5,37.7,0.358,18.0,23.2,0.775,11.9,32.6,44.5,29.6,15.5,9.7,5.1,4.9,19.1,19.1,118.2,-1.1,6,5,14,14,15,18,3,4,18,9,23,14,2,26,2,12,15,22,8,5,18,0.553,0.411,0.253,0.267,0.682,14.1,,,,,18,10,25.752052092023046,0.803220084188801,0.35953308822155167,0.5321589355368366,0.40272473939519043,0.2222222222222222,0.2331864320341369,0.48278659364344323,0.5172876457838786,0.4444444444444444,113.24072052332552,113.02207502838809,0.2329728977748003,0.5818122588719754,0.5547216479598694,0.18773970004766696,0.09851815098086156,0.17287606740720263,0.0890311414827394,104.10623218238707,0.0408779891873365,3.8327535793473606
