TEAM_ID,TEAM_NAME,GP,W_PCT,MIN,OFF_RATING,DEF_RATING,NET_RATING,AST_PCT,AST_TO,AST_RATIO,OREB_PCT,DREB_PCT,REB_PCT,TM_TOV_PCT,EFG_PCT,TS_PCT,PACE,POSS,PIE,GP_RANK,W_PCT_RANK,MIN_RANK,OFF_RATING_RANK,DEF_RATING_RANK,NET_RATING_RANK,AST_PCT_RANK,AST_TO_RANK,AST_RATIO_RANK,OREB_PCT_RANK,DREB_PCT_RANK,REB_PCT_RANK,TM_TOV_PCT_RANK,EFG_PCT_RANK,TS_PCT_RANK,PACE_RANK,PIE_RANK,SEASON,SEASON_START_YEAR,TEAM_SUCCESS_GROUP,SHOOTING_EFFICIENCY_GAP,REB_PCT_BALANCE,PACE_ADJ_NET_RATING,POSSESSION_CONTROL_INDEX,TEAM_SUCCESS_GROUP_ENCODED
1610612737,Atlanta Hawks,82,0.585,3966.0,104.6,100.8,3.9,0.663,1.71,19.0,0.234,0.698,0.474,0.152,0.516,0.552,97.63,8059,0.528,1,7,11,20,2,7,2,7,2,29,26,28,21,6,8,9,6,2015-16,2015,Average,0.036,0.464,3.995,0.322,
1610612738,Boston Celtics,82,0.585,3956.0,105.8,102.5,3.3,0.616,1.76,17.4,0.29,0.707,0.495,0.138,0.488,0.531,99.43,8191,0.52,1,7,23,10,4,8,5,4,10,12,24,18,5,24,21,3,9,2015-16,2015,Average,0.043,0.417,3.319,0.357,
1610612751,Brooklyn Nets,82,0.256,3951.0,102.4,109.7,-7.4,0.583,1.51,17.0,0.279,0.716,0.494,0.153,0.492,0.527,96.12,7903,0.46,1,28,26,27,29,28,18,19,14,17,19,21,22,21,23,20,27,2015-16,2015,Unsuccessful,0.035,0.437,-7.699,0.341,0.0
1610612766,Charlotte Hornets,82,0.585,3971.0,106.4,103.7,2.7,0.586,1.73,16.7,0.244,0.754,0.499,0.129,0.502,0.545,96.24,7966,0.511,1,7,9,9,9,9,17,6,18,27,1,15,1,14,12,18,11,2015-16,2015,Average,0.043,0.51,2.805,0.37,
1610612741,Chicago Bulls,82,0.512,3981.0,104.1,105.5,-1.4,0.591,1.64,17.0,0.29,0.714,0.506,0.142,0.487,0.526,96.6,8008,0.494,1,14,3,23,15,18,14,12,13,11,20,12,12,26,26,15,16,2015-16,2015,Average,0.039,0.424,-1.449,0.364,
1610612739,Cleveland Cavaliers,82,0.695,3971.0,110.2,103.9,6.3,0.587,1.67,17.4,0.294,0.742,0.519,0.143,0.524,0.558,93.82,7764,0.528,1,3,9,3,10,4,16,10,11,10,5,4,13,3,4,28,5,2015-16,2015,Successful,0.034,0.448,6.715,0.376,1.0
1610612742,Dallas Mavericks,82,0.512,4001.0,105.5,105.9,-0.4,0.592,1.73,17.0,0.241,0.723,0.484,0.132,0.502,0.544,95.34,7950,0.503,1,14,1,11,16,16,13,5,12,28,14,26,2,13,14,22,13,2015-16,2015,Average,0.042,0.482,-0.42,0.352,
1610612743,Denver Nuggets,82,0.402,3966.0,104.9,108.2,-3.3,0.601,1.55,16.9,0.304,0.732,0.513,0.151,0.489,0.531,96.34,7963,0.479,1,21,11,17,25,23,9,15,15,3,9,7,19,23,22,17,25,2015-16,2015,Average,0.042,0.428,-3.425,0.362,
1610612765,Detroit Pistons,82,0.537,3976.0,105.3,104.9,0.3,0.512,1.44,14.8,0.313,0.753,0.521,0.14,0.491,0.522,95.75,7942,0.486,1,12,5,15,13,14,29,23,29,2,2,2,8,22,28,21,22,2015-16,2015,Average,0.031,0.44,0.313,0.381,
1610612744,Golden State Warriors,82,0.89,3976.0,113.5,102.8,10.6,0.68,1.91,20.4,0.267,0.72,0.507,0.15,0.563,0.593,100.24,8303,0.567,1,1,5,1,6,2,1,1,1,22,15,11,18,1,1,2,2,2015-16,2015,Successful,0.03,0.453,10.575,0.357,1.0
1610612745,Houston Rockets,82,0.5,3966.0,107.3,107.3,0.0,0.589,1.39,16.4,0.297,0.692,0.492,0.161,0.516,0.553,98.42,8139,0.49,1,17,11,7,21,15,15,26,19,8,29,23,27,7,6,7,19,2015-16,2015,Average,0.037,0.395,0.0,0.331,
1610612754,Indiana Pacers,82,0.549,3976.0,103.8,102.2,1.6,0.554,1.43,16.1,0.271,0.714,0.494,0.151,0.497,0.536,97.35,8068,0.518,1,11,5,25,3,12,24,25,22,21,21,19,20,20,19,11,10,2015-16,2015,Average,0.039,0.443,1.644,0.343,
1610612746,LA Clippers,82,0.646,3966.0,107.2,102.7,4.5,0.596,1.76,17.4,0.234,0.697,0.472,0.133,0.524,0.556,96.81,7995,0.533,1,6,11,8,5,5,10,3,9,30,27,29,3,5,5,13,4,2015-16,2015,Successful,0.032,0.463,4.648,0.339,1.0
1610612747,Los Angeles Lakers,82,0.207,3946.0,100.7,110.3,-9.7,0.513,1.31,14.1,0.271,0.712,0.484,0.142,0.46,0.509,96.55,7930,0.424,1,29,28,29,30,29,28,27,30,19,22,27,11,30,30,16,30,2015-16,2015,Unsuccessful,0.049,0.441,-10.047,0.342,0.0
1610612763,Memphis Grizzlies,82,0.512,3966.0,104.7,107.1,-2.4,0.562,1.56,16.0,0.298,0.709,0.495,0.14,0.477,0.524,93.95,7763,0.483,1,14,11,19,20,21,20,13,25,6,23,16,9,29,27,27,23,2015-16,2015,Average,0.047,0.411,-2.555,0.355,
